currency_from,currency_to,exchange_rate
btc,eth,29.139476013728626
btc,ltc,1085.2053209947946
btc,xrp,42643.63636363636
btc,ada,207689.39570036728
btc,bch,157.92344207655793
btc,eos,480989.2949427833
btc,sol,644.0310290382372
btc,dot,39752.542372881355
btc,link,6356.09756097561
btc,uni,15205.18638573744
btc,avax,6364.72184531886
btc,xlm,364441.5439119896
eth,btc,0.03431770700093801
eth,ltc,37.24175824175824
eth,xrp,1463.4318181818182
eth,ada,7127.423828847079
eth,bch,5.41957041376292
eth,eos,16506.44969443419
eth,sol,22.10166815404682
eth,dot,1364.2161016949153
eth,link,218.12669376693768
eth,uni,521.8071312803891
eth,avax,218.42265943012214
eth,xlm,12506.798122941142
ltc,btc,0.0009214846081691823
ltc,eth,0.026851578636766005
ltc,xrp,39.29545454545455
ltc,ada,191.38258141784718
ltc,bch,0.14552402114264554
ltc,eos,443.2242319839219
ltc,sol,0.5934646804420952
ltc,dot,36.63135593220339
ltc,link,5.857046070460705
ltc,uni,14.011345218800649
ltc,avax,5.864993215739484
ltc,xlm,335.82727329231153
xrp,btc,2.3450157755606722e-05
xrp,eth,0.0006833253094376544
xrp,ltc,0.025448235974551765
xrp,ada,4.870349093340241
xrp,bch,0.003703329630003704
xrp,eos,11.279274845166318
xrp,sol,0.015102629230452394
xrp,dot,0.9322033898305085
xrp,link,0.14905149051490515
xrp,uni,0.35656401944894656
xrp,avax,0.1492537313432836
xrp,xlm,8.54621169743303
ada,btc,4.8148823228447175e-06
ada,eth,0.00014030314795545959
ada,ltc,0.005225135916714863
ada,xrp,0.20532409090909087
ada,bch,0.0007603827896172104
ada,eos,2.3159068536975513
ada,sol,0.003100933617079701
ada,dot,0.19140381355932204
ada,link,0.030603861788617886
ada,uni,0.07321118314424635
ada,avax,0.030645386702849386
ada,xlm,1.7547431474920754
bch,btc,0.006332182143770785
bch,eth,0.18451646969296948
bch,ltc,6.871717755928281
bch,xrp,270.0272727272727
bch,ada,1315.1270829044106
bch,eos,3045.711824781592
bch,sol,4.078121782110249
bch,dot,251.72033898305085
bch,link,40.24796747967479
bch,uni,96.28200972447326
bch,avax,40.30257801899592
bch,xlm,2307.7102368077567
eos,btc,2.079048349961627e-06
eos,eth,6.0582379525088904e-05
eos,ltc,0.0022561943319838055
eos,xrp,0.08865818181818182
eos,ada,0.431796295435376
eos,bch,0.00032833047166952835
eos,sol,0.0013389716482460356
eos,dot,0.08264745762711864
eos,link,0.013214634146341464
eos,uni,0.03161231766612642
eos,avax,0.013232564450474897
eos,xlm,0.7576915905276898
sol,btc,0.0015527202182996503
sol,eth,0.04524545355717413
sol,ltc,1.6850202429149796
sol,xrp,66.21363636363635
sol,ada,322.48352383039673
sol,bch,0.24521092145574522
sol,eos,746.8418030433534
sol,dot,61.724576271186436
sol,link,9.869241192411923
sol,uni,23.609400324149107
sol,avax,9.882632293080054
sol,xlm,565.8757536204861
dot,btc,2.51556237741963e-05
dot,eth,0.0007330216955785746
dot,ltc,0.027299016772700982
dot,xrp,1.0727272727272725
dot,ada,5.224556300128621
dot,bch,0.003972662694003972
dot,eos,12.099585742996595
dot,sol,0.016201002265394386
dot,link,0.15989159891598914
dot,uni,0.3824959481361426
dot,avax,0.16010854816824965
dot,xlm,9.167754366337249
link,btc,0.00015732924021488872
link,eth,0.004584491621499899
link,ltc,0.17073452862926547
link,xrp,6.709090909090908
link,ada,32.67561482622816
link,bch,0.024845975154024848
link,eos,75.67368032484312
link,sol,0.10132491247339878
link,dot,6.254237288135593
link,uni,2.392220421393841
link,avax,1.0013568521031206
link,xlm,57.33731120641432
uni,btc,6.576703334186067e-05
uni,eth,0.0019164168905592394
uni,ltc,0.07137073452862926
uni,xrp,2.8045454545454542
uni,ada,13.659115411776947
uni,bch,0.010386156280510386
uni,eos,31.633238997580083
uni,sol,0.04235601015995057
uni,dot,2.614406779661017
uni,link,0.4180216802168022
uni,avax,0.4185888738127544
uni,xlm,23.968239169618997
avax,btc,0.00015711605696256501
avax,eth,0.004578279573232284
avax,ltc,0.17050318102949683
avax,xrp,6.699999999999999
avax,ada,32.631338925379616
avax,bch,0.024812308521024815
avax,eos,75.57114146261434
avax,sol,0.10118761584403103
avax,dot,6.2457627118644075
avax,link,0.9986449864498645
avax,uni,2.3889789303079416
avax,xlm,57.2596183728013
xlm,btc,2.7439242773087744e-06
xlm,eth,7.995651566212669e-05
xlm,ltc,0.0029777212261422785
xlm,xrp,0.11701090909090908
xlm,ada,0.5698839750018264
xlm,bch,0.00043332996667003334
xlm,eos,1.3197982035191338
xlm,sol,0.0017671723759181712
xlm,dot,0.10907796610169491
xlm,link,0.017440650406504065
xlm,uni,0.04172188006482982
xlm,avax,0.017464314789687924
