currency_from,currency_to,exchange_rate
btc,eth,29.038603154916476
btc,ltc,1085.30902945437
btc,xrp,43644.17475728155
btc,ada,210056.2131145243
btc,bch,155.74784325953644
btc,eos,501475.3046824888
btc,sol,677.5207234363226
btc,dot,42812.85714285714
btc,link,6620.5449189985275
btc,uni,16496.697247706423
btc,avax,6635.20295202952
btc,xlm,376889.5409767344
eth,btc,0.03443691814875371
eth,ltc,37.374698213423464
eth,xrp,1502.9708737864078
eth,ada,7233.688617662039
eth,bch,5.363475730173579
eth,eos,17269.264020972194
eth,sol,23.331725697061042
eth,dot,1474.342857142857
eth,link,227.99116347569955
eth,uni,568.0954128440367
eth,avax,228.49594095940958
eth,xlm,12978.91427373716
ltc,btc,0.0009213965542171355
ltc,eth,0.026756068886218884
ltc,xrp,40.213592233009706
ltc,ada,193.54507095562295
ltc,bch,0.14350552610608738
ltc,eos,462.0576177594333
ltc,sol,0.6242652599849285
ltc,dot,39.44761904761905
ltc,link,6.100147275405008
ltc,uni,15.2
ltc,avax,6.113653136531365
ltc,xlm,347.264724376441
xrp,btc,2.29125652062687e-05
xrp,eth,0.0006653488882859838
xrp,ltc,0.024867213906325448
xrp,ada,4.812926679968412
xrp,bch,0.0035685826144198456
xrp,eos,11.490085617870989
xrp,sol,0.015523737754333083
xrp,dot,0.9809523809523809
xrp,link,0.1516936671575847
xrp,uni,0.3779816513761468
xrp,avax,0.15202952029520295
xrp,xlm,8.635506183190106
ada,btc,4.760630429221307e-06
ada,eth,0.00013824205780137722
ada,ltc,0.005166755190729116
ada,xrp,0.20777378640776697
ada,bch,0.0007414579219069397
ada,eos,2.387338594974482
ada,sol,0.0032254257724189904
ada,dot,0.20381619047619046
ada,link,0.0315179675994109
ada,uni,0.07853467889908257
ada,avax,0.031587749077490776
ada,xlm,1.7942318172290923
bch,btc,0.006420634655811004
bch,eth,0.18644626177279952
bch,ltc,6.968372766779333
bch,xrp,280.22330097087377
bch,ada,1348.6942015915367
bch,eos,3219.78972027777
bch,sol,4.3501130369253955
bch,dot,274.88571428571424
bch,link,42.50810014727541
bch,uni,105.91926605504587
bch,avax,42.60221402214022
bch,xlm,2419.8700482079225
eos,btc,1.994116142235866e-06
eos,eth,5.7906347299200294e-05
eos,ltc,0.0021642322549493
eos,xrp,0.08703155339805825
eos,ada,0.4188764853486101
eos,bch,0.0003105792883622631
eos,sol,0.0013510550113036927
eos,dot,0.08537380952380952
eos,link,0.013202135493372607
eos,uni,0.032896330275229355
eos,avax,0.013231365313653137
eos,xlm,0.751561517501572
sol,btc,0.0014759696130445903
sol,eth,0.0428600958619175
sol,ltc,1.6018831482375662
sol,xrp,64.41747572815534
sol,ada,310.03658758825645
sol,bch,0.2298790839483075
sol,eos,740.1623114036311
sol,dot,63.19047619047618
sol,link,9.771723122238585
sol,uni,24.348623853211006
sol,avax,9.793357933579335
sol,xlm,556.277509955984
dot,btc,2.33574693850312e-05
dot,eth,0.000678268284175032
dot,ltc,0.025350072428778368
dot,xrp,1.0194174757281553
dot,ada,4.90638156695809
dot,bch,0.00363787548071926
dot,eos,11.713194076470424
dot,sol,0.015825169555388097
dot,link,0.15463917525773196
dot,uni,0.3853211009174312
dot,avax,0.15498154981549817
dot,xlm,8.803185914902537
link,btc,0.00015104496868986842
link,eth,0.004386134904331874
link,ltc,0.16393046837276679
link,xrp,6.592233009708738
link,ada,31.72793413299565
link,bch,0.023524928108651214
link,eos,75.74532169450875
link,sol,0.10233609645817635
link,dot,6.466666666666667
link,uni,2.491743119266055
link,avax,1.0022140221402214
link,xlm,56.927268916369734
uni,btc,6.0618194356390494e-05
uni,eth,0.0017602676898828213
uni,ltc,0.06578947368421052
uni,xrp,2.645631067961165
uni,ada,12.733228352343616
uni,bch,0.009441153033295223
uni,eos,30.398527484173243
uni,sol,0.041070082893745294
uni,dot,2.5952380952380953
uni,link,0.4013254786450663
uni,avax,0.4022140221402214
uni,xlm,22.846363445818486
avax,btc,0.00015071129055579656
avax,eth,0.004376445357415088
avax,ltc,0.1635683244809271
avax,xrp,6.577669902912621
avax,ada,31.657842967753393
avax,bch,0.023472958458926656
avax,eos,75.57799035055918
avax,sol,0.1021100226073851
avax,dot,6.4523809523809526
avax,link,0.9977908689248896
avax,uni,2.4862385321100917
avax,xlm,56.80150911758541
xlm,btc,2.6532972960948537e-06
xlm,eth,7.704804723331138e-05
xlm,ltc,0.0028796475132786092
xlm,xrp,0.11580097087378641
xlm,ada,0.5573415822846917
xlm,bch,0.0004132453313931331
xlm,eos,1.3305630699723905
xlm,sol,0.001797663903541824
xlm,dot,0.1135952380952381
xlm,link,0.017566273932253313
xlm,uni,0.04377064220183486
xlm,avax,0.017605166051660518
