currency_from,currency_to,exchange_rate
btc,eth,27.9237495543295
btc,ltc,1090.3374233128834
btc,xrp,44431.25
btc,ada,199237.68952663883
btc,bch,164.60414996883068
btc,eos,498269.31786322757
btc,sol,668.042503975712
btc,dot,41074.22222222222
btc,link,6494.51862262825
btc,uni,16328.09187279152
btc,avax,6325.598904859686
btc,xlm,367077.8983492477
eth,btc,0.03581180951556532
eth,ltc,39.046956111373284
eth,xrp,1591.1634615384614
eth,ada,7135.062185649333
eth,bch,5.894772464155311
eth,eos,17843.92589876857
eth,sol,23.923810900679484
eth,dot,1470.9422222222222
eth,link,232.58046380885452
eth,uni,584.73851590106
eth,avax,226.53114305270364
eth,xlm,13145.723773057307
ltc,btc,0.0009171472780981854
ltc,eth,0.02561019089804872
ltc,xrp,40.75
ltc,ada,182.73030464392815
ltc,bch,0.15096624810757858
ltc,eos,456.9863486380988
ltc,sol,0.6126933641752205
ltc,dot,37.67111111111112
ltc,link,5.956430077301476
ltc,uni,14.975265017667844
ltc,avax,5.801505817932923
ltc,xlm,336.66449532101495
xrp,btc,2.2506681671121115e-05
xrp,eth,0.0006284709422834042
xrp,ltc,0.024539877300613498
xrp,ada,4.484179255065722
xrp,bch,0.003704693205093953
xrp,eos,11.214388923634324
xrp,sol,0.015035419979760012
xrp,dot,0.9244444444444445
xrp,link,0.14617006324666199
xrp,uni,0.3674911660777385
xrp,avax,0.14236824093086928
xrp,xlm,8.261705406650673
ada,btc,5.019130679420453e-06
ada,eth,0.0001401529480725884
ada,ltc,0.0054725460122699385
ada,xrp,0.22300625
ada,bch,0.0008261697390684834
ada,eos,2.500878819901227
ada,sol,0.003352992626861356
ada,dot,0.2061568888888889
ada,link,0.03259683766690091
ada,uni,0.08195282685512367
ada,avax,0.031749007529089664
ada,xlm,1.8424119413418918
bch,btc,0.006075180973197572
bch,eth,0.16964183199279678
bch,ltc,6.623997168475697
bch,xrp,269.92788461538464
bch,ada,1210.4050205560814
bch,eos,3027.0762794108136
bch,sol,4.058479109440509
bch,dot,249.53333333333336
bch,link,39.45537596626845
bch,uni,99.19611307420496
bch,avax,38.42915811088296
bch,xlm,2230.0646637327022
eos,btc,2.0069467738619517e-06
eos,eth,5.604147908219071e-05
eos,ltc,0.0021882491741387444
eos,xrp,0.08917115384615384
eos,ada,0.399859438227197
eos,bch,0.00033035176774423363
eos,sol,0.0013407257481567153
eos,dot,0.08243377777777777
eos,link,0.013034153197470134
eos,uni,0.032769611307420496
eos,avax,0.01269514031485284
eos,xlm,0.7367058038480482
sol,btc,0.001496910741530238
sol,eth,0.041799360651676026
sol,ltc,1.6321378008494571
sol,xrp,66.50961538461539
sol,ada,298.24103757009226
sol,bch,0.24639772018879685
sol,eos,745.8646940844098
sol,dot,61.48444444444445
sol,link,9.721714687280393
sol,uni,24.441696113074205
sol,avax,9.468856947296374
sol,xlm,549.4828490173337
dot,btc,2.4346170076933897e-05
dot,eth,0.0006798363558354132
dot,ltc,0.02654554034922133
dot,xrp,1.0817307692307692
dot,ada,4.8506746749509
dot,bch,0.004007480630510285
dot,eos,12.130949556815976
dot,sol,0.016264276420413473
dot,link,0.15811665495432184
dot,uni,0.39752650176678445
dot,avax,0.1540041067761807
dot,xlm,8.936940944694237
link,btc,0.00015397600008656417
link,eth,0.004299587263794635
link,ltc,0.16788579518640867
link,xrp,6.841346153846154
link,ada,30.677822499800584
link,bch,0.025345088609849496
link,eos,76.7215165304406
link,sol,0.10286251264999277
link,dot,6.3244444444444445
link,uni,2.5141342756183747
link,avax,0.9739904175222451
link,xlm,56.52118650799956
uni,btc,6.124414339353149e-05
uni,eth,0.001710166121790417
uni,ltc,0.06677678150070789
uni,xrp,2.7211538461538463
uni,ada,12.202141626765377
uni,bch,0.010081040163861429
uni,eos,30.516077551812632
uni,sol,0.04091369090646234
uni,dot,2.5155555555555558
uni,link,0.3977512297962052
uni,avax,0.3874058863791924
uni,xlm,22.481371443097505
avax,btc,0.00015808779769955743
avax,eth,0.0044144040705579495
avax,ltc,0.17236904200094383
avax,xrp,7.024038461538461
avax,ada,31.49704755601451
avax,bch,0.02602190756078012
avax,eos,78.77029912225841
avax,sol,0.10560936822321815
avax,dot,6.493333333333333
avax,link,1.0267041461700632
avax,uni,2.5812720848056534
avax,xlm,58.03053653421458
xlm,btc,2.724217405888527e-06
xlm,eth,7.607036457357643e-05
xlm,ltc,0.0029703161868806036
xlm,xrp,0.1210403846153846
xlm,ada,0.5427667817174837
xlm,bch,0.00044841749042657397
xlm,eos,1.3573939485432076
xlm,sol,0.0018198930172039901
xlm,dot,0.11189511111111111
xlm,link,0.01769248067463106
xlm,uni,0.04448127208480565
xlm,avax,0.01723230663928816
