currency_from,currency_to,exchange_rate
btc,eth,29.02453022428002
btc,ltc,1085.7435773730551
btc,xrp,43698.54368932039
btc,ada,210286.9343599399
btc,bch,155.89055329465754
btc,eos,503214.30168597115
btc,sol,677.4968013848122
btc,dot,42663.03317535545
btc,link,6619.044117647059
btc,uni,16517.24770642202
btc,avax,6633.677229182019
btc,xlm,376981.35173730785
eth,btc,0.034453615347871
eth,ltc,37.407791581232665
eth,xrp,1505.5728155339805
eth,ada,7245.145149120369
eth,bch,5.370993159580916
eth,eos,17337.551987835966
eth,sol,23.34221419432528
eth,dot,1469.8957345971564
eth,link,228.05
eth,uni,569.0788990825688
eth,avax,228.55416359616802
eth,xlm,12988.370486077667
ltc,btc,0.0009210277830235838
ltc,eth,0.026732398725769633
ltc,xrp,40.24757281553398
ltc,ada,193.68010895236137
ltc,bch,0.14357953069529827
ltc,eos,463.4743526675909
ltc,sol,0.6239933769850229
ltc,dot,39.29383886255924
ltc,link,6.096323529411765
ltc,uni,15.212844036697247
ltc,avax,6.109801031687546
ltc,xlm,347.2102986318465
xrp,btc,2.2884057810017884e-05
xrp,eth,0.0006641990275610354
xrp,ltc,0.024846218791460623
xrp,ada,4.812218362584302
xrp,bch,0.0035674084336306173
xrp,eos,11.515585170609544
xrp,sol,0.015503875968992248
xrp,dot,0.9763033175355451
xrp,link,0.15147058823529413
xrp,uni,0.3779816513761468
xrp,avax,0.1518054532056006
xrp,xlm,8.626863046455238
ada,btc,4.7554071918150614e-06
ada,eth,0.00013802345976759482
ada,ltc,0.005163152816306839
ada,xrp,0.20780436893203882
ada,bch,0.0007413230582734435
ada,eos,2.392988909261661
ada,sol,0.003221773161737036
ada,dot,0.20288009478672986
ada,link,0.03147625
ada,uni,0.07854623853211008
ada,avax,0.03154583640383198
ada,xlm,1.7926998312317568
bch,btc,0.006414756884657684
bch,eth,0.1861853050801553
bch,ltc,6.964781087926668
bch,xrp,280.31553398058253
bch,ada,1348.9395599389832
bch,eos,3227.997406198292
bch,sol,4.345977271016784
bch,dot,273.6729857819906
bch,link,42.45955882352941
bch,uni,105.95412844036697
bch,avax,42.553426676492265
bch,xlm,2418.2437214444553
eos,btc,1.987224919183728e-06
eos,eth,5.767826972929053e-05
eos,ltc,0.002157616692799421
eos,xrp,0.0868388349514563
eos,ada,0.4178874361388255
eos,bch,0.0003097895921724824
eos,sol,0.0013463385263791676
eos,dot,0.08478104265402844
eos,link,0.013153529411764706
eos,uni,0.03282348623853211
eos,avax,0.013182608695652173
eos,xlm,0.749146736239944
sol,btc,0.0014760217287461536
sol,eth,0.04284083727768678
sol,ltc,1.6025811120492102
sol,xrp,64.5
sol,ada,310.38808438668747
sol,bch,0.23009784396917482
sol,eos,742.7552435043156
sol,dot,62.97156398104266
sol,link,9.76985294117647
sol,uni,24.37981651376147
sol,avax,9.791451731761239
sol,xlm,556.4326664963629
dot,btc,2.343949610637754e-05
dot,eth,0.0006803203631814488
dot,ltc,0.02544928235436015
dot,xrp,1.0242718446601942
dot,ada,4.929019779151881
dot,bch,0.003653996016971166
dot,eos,11.795089665041814
dot,sol,0.015880183638142545
dot,link,0.15514705882352942
dot,uni,0.38715596330275226
dot,avax,0.1554900515843773
dot,xlm,8.836252926223569
link,btc,0.00015107921660982682
link,eth,0.0043850032887524665
link,ltc,0.16403328910867207
link,xrp,6.601941747572815
link,ada,31.769985306381795
link,bch,0.023551822668629315
link,eos,76.02522248557757
link,sol,0.10235568600888086
link,dot,6.4454976303317535
link,uni,2.495412844036697
link,avax,1.002210759027266
link,xlm,56.95404729698604
uni,btc,6.054277430320266e-05
uni,eth,0.0017572255826250693
uni,ltc,0.06573392835604873
uni,xrp,2.645631067961165
uni,ada,12.731354405866234
uni,bch,0.009438046584119836
uni,eos,30.465989893117484
uni,sol,0.0410175359373824
uni,dot,2.5829383886255926
uni,link,0.4007352941176471
uni,avax,0.4016212232866618
uni,xlm,22.823496894748082
avax,btc,0.000150745953632011
avax,eth,0.004375330487380219
avax,ltc,0.16367145097093236
avax,xrp,6.587378640776699
avax,ada,31.69990445644125
avax,bch,0.023499870118624987
avax,eos,75.85751978891821
avax,sol,0.10212990140739069
avax,dot,6.431279620853081
avax,link,0.9977941176470588
avax,uni,2.489908256880734
avax,xlm,56.828413369125045
xlm,btc,2.6526511069885246e-06
xlm,eth,7.699195222925829e-05
xlm,ltc,0.0028800989024243156
xlm,xrp,0.11591699029126214
xlm,ada,0.5578178692151179
xlm,bch,0.0004135232487661269
xlm,eos,1.3348519744197487
xlm,sol,0.0017971626401746066
xlm,dot,0.11317014218009479
xlm,link,0.017558014705882353
xlm,uni,0.04381449541284404
xlm,avax,0.01759683124539425
