currency_from,currency_to,exchange_rate
btc,eth,27.914804975244536
btc,ltc,1092.5794635472055
btc,xrp,44454.32692307692
btc,ada,199250.53440904705
btc,bch,164.59876103674168
btc,eos,498641.02591757715
btc,sol,670.4734972083243
btc,dot,41279.017857142855
btc,link,6493.328651685393
btc,uni,16336.572438162544
btc,avax,6328.884325804244
btc,xlm,367413.0292253591
eth,btc,0.03582328448602174
eth,ltc,39.13978494623656
eth,xrp,1592.5
eth,ada,7137.808578127156
eth,bch,5.896468242665907
eth,eos,17862.959327847107
eth,sol,24.0185628308317
eth,dot,1478.75
eth,link,232.6123595505618
eth,uni,585.2296819787986
eth,avax,226.72142368240932
eth,xlm,13161.941469811058
ltc,btc,0.0009152652354945114
ltc,eth,0.02554945054945055
ltc,xrp,40.68749999999999
ltc,ada,182.3670872983037
ltc,bch,0.15065152378239818
ltc,eos,456.38879601367603
ltc,sol,0.6136610833152055
ltc,dot,37.78124999999999
ltc,link,5.94311797752809
ltc,uni,14.952296819787986
ltc,avax,5.792607802874743
ltc,xlm,336.28037271770006
xrp,btc,2.2494998107391985e-05
xrp,eth,0.0006279434850863422
xrp,ltc,0.024577572964669742
xrp,ada,4.482140394428355
xrp,bch,0.00370264881800057
xrp,eos,11.216928934283898
xrp,sol,0.015082300050757742
xrp,dot,0.9285714285714285
xrp,link,0.14606741573033707
xrp,uni,0.3674911660777385
xrp,avax,0.14236824093086928
xrp,xlm,8.264955397055608
ada,btc,5.0188071162061315e-06
ada,eth,0.0001400990218572636
ada,ltc,0.005483445586671393
ada,xrp,0.22310769230769228
ada,bch,0.0008260894332099116
ada,eos,2.5025831293074625
ada,sol,0.0033649771590167498
ada,dot,0.20717142857142853
ada,link,0.03258876404494382
ada,uni,0.08199010600706713
ada,avax,0.03176344969199179
ada,xlm,1.8439751256630836
bch,btc,0.006075379873465635
bch,eth,0.16959304431831904
bch,ltc,6.637835282996574
bch,xrp,270.07692307692304
bch,ada,1210.5226865259965
bch,eos,3029.4336529439047
bch,sol,4.073381190631571
bch,dot,250.78571428571425
bch,link,39.44943820224719
bch,uni,99.25088339222614
bch,avax,38.450376454483234
bch,xlm,2232.173723004788
eos,btc,2.0054507110798677e-06
eos,eth,5.598176548725999e-05
eos,ltc,0.002191114262082004
eos,xrp,0.08915096153846153
eos,ada,0.3995871259136671
eos,bch,0.00033009470236399884
eos,sol,0.0013446015517366398
eos,dot,0.0827830357142857
eos,link,0.013022050561797751
eos,uni,0.032762190812720846
eos,avax,0.012692265571526352
eos,xlm,0.7368287207200046
sol,btc,0.0014914832639377062
sol,eth,0.04163446443666224
sol,ltc,1.6295639844026941
sol,xrp,66.30288461538461
sol,ada,297.1788374017377
sol,bch,0.245496297351182
sol,eos,743.7147448687944
sol,dot,61.56696428571428
sol,link,9.684691011235955
sol,uni,24.36572438162544
sol,avax,9.439425051334702
sol,xlm,547.9903840422784
dot,btc,2.4225382577191372e-05
dot,eth,0.000676246830092984
dot,ltc,0.02646815550041357
dot,xrp,1.076923076923077
dot,ada,4.826920424768998
dot,bch,0.003987467957846768
dot,eos,12.079769621536505
dot,sol,0.016242476977739107
dot,link,0.15730337078651688
dot,uni,0.39575971731448767
dot,avax,0.1533196440793977
dot,xlm,8.900721196829117
link,btc,0.00015400421781214515
link,eth,0.004298997705591112
link,ltc,0.16826184568120053
link,xrp,6.846153846153846
link,ada,30.6854227003172
link,bch,0.025348903446311594
link,eos,76.79282116548207
link,sol,0.10325574650134146
link,dot,6.357142857142857
link,uni,2.5159010600706715
link,avax,0.9746748802190282
link,xlm,56.58315617984225
uni,btc,6.12123506191532e-05
uni,eth,0.0017087308296099505
uni,ltc,0.06687935720193786
uni,xrp,2.7211538461538463
uni,ada,12.196593573300236
uni,bch,0.010075477072059243
uni,eos,30.52298931156099
uni,sol,0.041041258791965775
uni,dot,2.526785714285714
uni,link,0.39747191011235955
uni,avax,0.3874058863791924
uni,xlm,22.49021516698786
avax,btc,0.0001580057318985562
avax,eth,0.00441069919091897
avax,ltc,0.1726338177951081
avax,xrp,7.024038461538461
avax,ada,31.482726520479932
avax,bch,0.026007547707205925
avax,eos,78.78814025475371
avax,sol,0.10593865564498586
avax,dot,6.522321428571428
avax,link,1.0259831460674156
avax,uni,2.5812720848056534
avax,xlm,58.05336459181848
xlm,btc,2.721732547450387e-06
xlm,eth,7.597663325685305e-05
xlm,ltc,0.002973709086612313
xlm,xrp,0.12099278846153846
xlm,ada,0.5423066645979866
xlm,bch,0.0004479938051837084
xlm,eos,1.3571675097339218
xlm,sol,0.0018248495395547823
xlm,dot,0.11235044642857143
xlm,link,0.017673103932584273
xlm,uni,0.04446378091872792
xlm,avax,0.01722553045859001
